bowler,phase,balls,runs,wickets,dots,boundaries,economy,strike_rate,dot_pct,boundary_pct
YK Pathan,Middle,714,871,24,207,90,7.32,29.8,29.0,12.6
YK Pathan,Powerplay,354,379,14,165,53,6.42,25.3,46.6,15.0
YS Chahal,Death,673,1024,65,188,116,9.13,10.4,27.9,17.2
YS Chahal,Middle,2960,3703,147,960,392,7.51,20.1,32.4,13.2
YS Chahal,Powerplay,404,521,17,171,77,7.74,23.8,42.3,19.1
Yash Dayal,Death,228,379,16,59,50,9.97,14.2,25.9,21.9
Yash Dayal,Middle,205,277,9,69,34,8.11,22.8,33.7,16.6
Yash Dayal,Powerplay,438,664,16,179,111,9.1,27.4,40.9,25.3
Yuvraj Singh,Middle,756,913,30,227,85,7.25,25.2,30.0,11.2
Z Khan,Death,607,899,37,149,108,8.89,16.4,24.5,17.8
Z Khan,Middle,301,404,13,87,50,8.05,23.2,28.9,16.6
Z Khan,Powerplay,1292,1388,52,637,218,6.45,24.8,49.3,16.9
